date,pred,actual,model,horizon,target
2017-02-01,-0.06723618090452274,-0.09999999999999964,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-03-01,-0.05175879396984913,-0.09999999999999964,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-04-01,-0.059277708592777124,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-05-01,-0.05517241379310351,-0.10000000000000053,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-06-01,-0.05582329317269066,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-07-01,-0.04294117647058823,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-08-01,-0.05549048316251821,-0.09999999999999964,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-09-01,-0.05457516339869272,0.09999999999999964,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-10-01,-0.042225859247136004,0.10000000000000053,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-11-01,-0.057937806873976795,-0.10000000000000053,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-12-01,-0.04934640522875791,-0.09999999999999964,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-01-01,-0.03235294117647061,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-02-01,-0.024734446130500888,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-03-01,-0.04461077844311374,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-04-01,-0.04461077844311373,-0.20000000000000018,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-05-01,-0.04491654021244306,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-06-01,-0.010622154779969709,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-07-01,-0.048322147651006696,0.09999999999999964,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-08-01,-0.04647058823529412,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-09-01,-0.05599999999999993,-0.09999999999999964,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-10-01,-0.037425149700598806,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-11-01,-0.01500000000000009,-0.10000000000000009,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2018-12-01,-0.03734087694483733,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-01-01,-0.020367751060820363,-0.10000000000000009,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-02-01,-0.03903818953323902,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-03-01,-0.024999999999999998,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-04-01,-0.03833333333333333,0.10000000000000009,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-05-01,-0.03584131326949386,-0.10000000000000009,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-06-01,-0.043333333333333335,0.10000000000000009,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-07-01,-0.02220650636492222,-0.10000000000000009,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-08-01,-0.03691099476439787,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-09-01,-0.02759948652118103,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-10-01,-0.027856225930680344,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-11-01,-0.027456647398843913,0.10000000000000009,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2019-12-01,-0.02427745664739884,0.10000000000000009,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2020-01-01,-0.01705202312138723,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2020-02-01,-0.013333333333333261,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2020-03-01,-0.015934065934065912,0.09999999999999964,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2020-04-01,-0.013756613756613752,0.0,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2020-05-01,-0.005555555555555553,0.20000000000000018,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2020-06-01,-0.007934336525307813,0.20000000000000018,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2020-07-01,0.020080321285140566,0.2999999999999998,LinearRegression(),1,UNEMPLOYMENT_MOM_CHG
2017-03-01,-0.05427135678391967,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2017-04-01,-0.062110552763819014,-0.10000000000000053,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2017-05-01,-0.05591531755915316,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2017-06-01,-0.0517241379310345,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2017-07-01,-0.04698795180722884,-0.09999999999999964,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2017-08-01,-0.05441176470588238,0.09999999999999964,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2017-09-01,-0.05270863836017572,0.10000000000000053,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2017-10-01,-0.04705882352941177,-0.10000000000000053,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2017-11-01,-0.049263502454991816,-0.09999999999999964,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2017-12-01,-0.028641571194762613,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-01-01,-0.041830065359477184,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-02-01,-0.038235294117647076,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-03-01,-0.0374810318664643,-0.20000000000000018,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-04-01,-0.03832335329341314,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-05-01,-0.03982035928143707,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-06-01,-0.03748103186646449,0.09999999999999964,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-07-01,-0.042488619119878564,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-08-01,-0.03758389261744965,-0.09999999999999964,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-09-01,-0.04352941176470575,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-10-01,-0.03407407407407405,-0.10000000000000009,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-11-01,-0.023053892215568965,0.0,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
2018-12-01,-0.03333333333333329,-0.10000000000000009,LinearRegression(),2,UNEMPLOYMENT_MOM_CHG
